date,avg_sentiment_score,vix_open,vix_high,vix_low,vix_close,nvda_open,nvda_high,nvda_low,nvda_close,nvda_volume
2018-01-01,0.0,,,,,,,,,
2018-01-02,0.1111111111111111,10.949999809265137,11.06999969482422,9.520000457763672,9.770000457763672,4.84138,4.93344,4.80971,4.92975,356569996.0
2018-01-03,0.2461538461538461,9.5600004196167,9.649999618530272,8.9399995803833,9.149999618530272,5.04737,5.28502,5.03867,5.25437,920382381.0
2018-01-04,0.2,9.010000228881836,9.3100004196167,8.920000076293945,9.220000267028809,5.33582,5.39267,5.25977,5.28232,588501458.0
2018-01-05,0.1578947368421052,9.100000381469728,9.539999961853027,9.0,9.220000267028809,5.29727,5.36449,5.2198,5.32734,583555647.0
2018-01-06,0.2,,,,,,,,,
2018-01-07,0.25,,,,,,,,,
2018-01-08,0.2769230769230769,9.609999656677246,9.890000343322754,9.31999969482422,9.520000457763672,5.44995,5.56428,5.40534,5.48971,880552013.0
2018-01-09,0.3333333333333333,9.40999984741211,10.09000015258789,9.369999885559082,10.079999923706056,5.49511,5.53504,5.40694,5.48811,501903974.0
2018-01-10,0.2857142857142857,10.109999656677246,10.850000381469728,9.81999969482422,9.81999969482422,5.39636,5.53504,5.34182,5.53164,588085077.0
2018-01-11,0.1764705882352941,9.6899995803833,10.020000457763672,9.619999885559082,9.880000114440918,5.56428,5.59546,5.51986,5.54163,409798752.0
2018-01-12,0.2692307692307692,9.739999771118164,10.3100004196167,9.539999961853027,10.15999984741211,5.52965,5.56399,5.47342,5.51408,363403750.0
2018-01-13,0.0,,,,,,,,,
2018-01-14,0.0,,,,,,,,,
2018-01-15,0.0,,,,,,,,,
2018-01-16,0.238095238095238,10.420000076293944,12.40999984741211,10.399999618530272,11.65999984741211,5.54083,5.62612,5.35912,5.44287,697770829.0
2018-01-17,0.2,11.350000381469728,12.8100004196167,11.18000030517578,11.90999984741211,5.45743,5.56687,5.36429,5.5573,543235209.0
2018-01-18,0.1481481481481481,12.010000228881836,12.399999618530272,11.619999885559082,12.220000267028809,5.53804,5.60464,5.50668,5.55063,411823099.0
2018-01-19,0.1052631578947368,12.300000190734863,12.329999923706056,11.18000030517578,11.270000457763672,5.6406,5.71468,5.61363,5.6903,596494550.0
2018-01-20,0.5,,,,,,,,,
2018-01-21,0.0,,,,,,,,,
2018-01-22,0.0555555555555555,11.59000015258789,11.619999885559082,10.84000015258789,11.029999732971191,5.69829,5.78058,5.6408,5.77888,555444994.0
2018-01-23,0.125,10.770000457763672,11.56999969482422,10.760000228881836,11.100000381469728,5.83232,5.93084,5.81382,5.90787,477741124.0
2018-01-24,0.3529411764705882,11.0,12.1899995803833,10.890000343322754,11.470000267028809,5.91107,5.94712,5.77538,5.83112,586282160.0
2018-01-25,0.4347826086956521,11.270000457763672,12.010000228881836,11.199999809265137,11.579999923706056,5.8859,5.92885,5.82982,5.84478,413374210.0
2018-01-26,0.2580645161290322,11.399999618530272,11.600000381469728,11.079999923706056,11.079999923706056,5.8889,6.01804,5.87604,6.01784,520763019.0
2018-01-27,0.2,,,,,,,,,
2018-01-28,0.1,,,,,,,,,
2018-01-29,0.2857142857142857,11.710000038146973,13.84000015258789,11.68000030517578,13.84000015258789,6.00305,6.13634,5.95012,6.10519,459399601.0
2018-01-30,0.1739130434782608,13.93000030517578,15.420000076293944,13.880000114440918,14.789999961853027,5.96271,6.0945,5.8961,6.00265,575762313.0
2018-01-31,0.4,14.229999542236328,14.4399995803833,13.40999984741211,13.539999961853027,6.07822,6.1644,6.04556,6.07892,481926672.0
2018-02-01,0.1538461538461538,13.050000190734863,14.300000190734863,12.5,13.470000267028809,5.8989,6.10649,5.8873,5.94742,521676049.0
2018-02-02,0.1794871794871795,13.640000343322754,17.860000610351562,13.640000343322754,17.309999465942383,5.86105,5.8851,5.71668,5.77458,723636926.0
2018-02-03,0.0909090909090909,,,,,,,,,
2018-02-04,0.2857142857142857,,,,,,,,,
2018-02-05,0.0,18.440000534057617,38.79999923706055,16.799999237060547,37.31999969482422,5.61363,5.76788,5.06983,5.28502,1172541327.0
2018-02-06,0.1372549019607843,37.31999969482422,50.29999923706055,22.420000076293945,29.979999542236328,5.05486,5.58117,5.04487,5.57817,1126982592.0
2018-02-07,0.1515151515151515,31.3799991607666,31.63999938964844,21.170000076293945,27.729999542236328,5.67702,5.81052,5.60613,5.65835,810111898.0
2018-02-08,0.2289156626506024,27.290000915527344,36.16999816894531,24.40999984741211,33.459999084472656,5.78358,5.81682,5.37918,5.37938,1113687989.0
2018-02-09,0.1801242236024844,32.18000030517578,41.060001373291016,27.729999542236328,29.059999465942383,5.8921,5.90727,5.37938,5.73924,1691027393.0
